pfam_number	Name	Description	Long_description	enzyme_annotation
PF04027	DUF371	Domain of unknown function (DUF371)	Archaeal domain of unknown function.	u
PF04028	DUF374	Domain of unknown function (DUF374)	Bacterial domain of unknown function.	u
PF04029	2-ph_phosp	2-phosphosulpholactate phosphatase	Thought to catalyse 2-phosphosulpholactate = sulpholactate + phosphate. Probable magnesium cofactor.  Involved in the second step of coenzyme M biosynthesis.  Inhibited by vanadate in Methanococcus jannaschii.  Also known as the ComB family [1].	y
PF04030	ALO	D-arabinono-1,4-lactone oxidase 	This domain is specific to D-arabinono-1,4-lactone oxidase EC:1.1.3.- , which is involved in the final step of the  D-erythroascorbic acid biosynthesis pathway [1].	y
PF04038	DHNA	Dihydroneopterin aldolase		y
PF04041	Glyco_hydro_130	beta-1,4-mannooligosaccharide phosphorylase	This is a family of glycosyl-hydrolases of the CAZy GH130 family. Several have been characterised as mannosylglucose phosphorylase [2,3,4]. This enzyme is part of the mannan catalytic pathway and feeds into the glycolysis cycle [2]. Specifically it catalyses the reversible phosphorolysis of beta-1,4-D-mannosyl-N-acetyl-D-glucosamine [4]. This family was noted to belong to the Beta fructosidase superfamily in [1].	s
PF04049	ANAPC8	Anaphase promoting complex subunit 8 / Cdc23 	The anaphase-promoting complex is composed of eight protein  subunits, including BimE (APC1), CDC27 (APC3), CDC16 (APC6),  and CDC23 (APC8).	m
PF04055	Radical_SAM	Radical SAM superfamily	Radical SAM proteins catalyse diverse reactions, including unusual methylations, isomerisation, sulphur insertion, ring formation, anaerobic oxidation and protein radical formation.	y
PF04072	LCM	Leucine carboxyl methyltransferase	Family of leucine carboxyl methyltransferases EC:2.1.1.- . This family may need divides a the full alignment contains a significantly shorter mouse sequence.	y
PF04075	F420H2_quin_red	F420H(2)-dependent quinone reductase	This family of proteins is found in the genera Mycobacterium and Streptomyces. Member protein Rv3547 has been characterised as a deazaflavin-dependent nitroreductase [1, 2]. Rv1558 is an F420H(2)-dependent quinone reductase involved in oxidative stress protection [3].	y
PF04087	DUF389	Domain of unknown function (DUF389) 	Family of hypothetical bacterial proteins with  an undetermined function.	u
PF04095	NAPRTase	Nicotinate phosphoribosyltransferase (NAPRTase) family	Nicotinate phosphoribosyltransferase (EC:2.4.2.11) is the rate limiting enzyme that catalyses the first reaction in  the NAD salvage synthesis. This family also includes Pre-B cell enhancing factor that is a cytokine Swiss:P43490. This family is related to Quinolinate phosphoribosyltransferase Pfam:PF01729.	y
PF04101	Glyco_tran_28_C	Glycosyltransferase family 28 C-terminal domain	The glycosyltransferase family 28 includes  monogalactosyldiacylglycerol synthase (Swiss:P93115, EC 2.4.1.46) and UDP-N-acetylglucosamine transferase (Swiss:P74657, EC 2.4.1.-). Structural analysis suggests the C-terminal domain contains the UDP-GlcNAc binding site.	s
PF04104	DNA_primase_lrg	Eukaryotic and archaeal DNA primase, large subunit	DNA primase is the polymerase that synthesises small RNA primers for the Okazaki fragments made during discontinuous DNA replication.  DNA primase is a heterodimer of two subunits, the small subunit Pri1 (48 kDa in yeast), and the large subunit Pri2 (58 kDa in the yeast S. cerevisiae) [1].  The large subunit of DNA primase forms interactions with the small subunit and the structure implicates that it is not directly involved in catalysis, but plays roles in correctly positioning the primase/DNA complex, and in the transfer of RNA to DNA polymerase [4].	m
PF04107	GCS2	Glutamate-cysteine ligase family 2(GCS2)	Also known as gamma-glutamylcysteine synthetase and gamma-ECS (EC:6.3.2.2). This enzyme catalyses the first and rate limiting step in de novo glutathione biosynthesis. Members of this family are found in archaea, bacteria and plants. May and Leaver [1] discuss the possible evolutionary origins of glutamate-cysteine ligase enzymes in different organisms and suggest that it evolved independently in different eukaryotes, from an ancestral bacterial enzyme. They also state that Arabidopsis thaliana gamma-glutamylcysteine synthetase is structurally unrelated to mammalian, yeast and Escherichia coli homologues. In plants, there are separate cytosolic and chloroplast forms of the enzyme.	y
PF04112	Mak10	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase	NatC N(alpha)-terminal acetyltransferases contains Mak10p,  Mak31p and Mak3p subunits.  All three subunits are associated  with each other to form the active complex [1].  	m
PF04113	Gpi16	Gpi16 subunit, GPI transamidase component	GPI (glycosyl phosphatidyl inositol) transamidase is a multi-protein complex.  Gpi16, Gpi8 and Gaa1 for a sub-complex of the GPI transamidase. GPI transamidase  that adds glycosylphosphatidylinositols (GPIs) to newly  synthesised proteins.  Gpi16 is an essential N-glycosylated transmembrane glycoprotein. Gpi16 is largely found on the lumenal side of the ER. It has a single C-terminal transmembrane domain and a small  C-terminal, cytosolic extension with an ER retrieval motif [1].	y
PF04114	Gaa1	Gaa1-like, GPI transamidase component 	GPI (glycosyl phosphatidyl inositol) transamidase is a multi-protein complex.  Gpi16, Gpi8 and Gaa1 for a sub-complex of the GPI transamidase. GPI transamidase  that adds glycosylphosphatidylinositols (GPIs) to newly  synthesised proteins. 	y
PF04115	Ureidogly_lyase	Ureidoglycolate lyase	Ureidoglycolate lyase (EC:4.3.2.3) is one of the enzymes that acts upon ureidoglycolate, an intermediate of purine catabolism, releasing urea [2]. The enzyme has in the past been wrongly assigned to EC:3.5.3.19, enzymes which release ammonia from ureidoglycolate [1].	y
PF04116	FA_hydroxylase	Fatty acid hydroxylase superfamily	This superfamily includes fatty acid and carotene hydroxylases and sterol desaturases.  Beta-carotene hydroxylase is involved in zeaxanthin synthesis by hydroxylating beta-carotene, but the enzyme may be involved in other pathways [1].  This family includes C-5 sterol desaturase and C-4 sterol methyl oxidase. Members of this family are involved in cholesterol biosynthesis and biosynthesis a plant cuticular wax. These enzymes contain two copies of a HXHH motif.  Members of this family are integral membrane proteins.	y
PF04127	DFP	DNA / pantothenate metabolism flavoprotein	The DNA/pantothenate metabolism flavoprotein (EC:4.1.1.36) affects synthesis of DNA, and pantothenate metabolism.	y
PF04131	NanE	Putative N-acetylmannosamine-6-phosphate epimerase	This family represents a putative ManNAc-6-P-to-GlcNAc-6P epimerase in the N-acetylmannosamine (ManNAc) utilisation pathway found mainly in pathogenic bacteria.	y
PF04134	DUF393	Protein of unknown function, DUF393	Members of this family have two highly conserved cysteine residues near their N-terminus. The function of these proteins is unknown.	u
PF04140	ICMT	Isoprenylcysteine carboxyl methyltransferase (ICMT) family 	The isoprenylcysteine o-methyltransferase (EC:2.1.1.100) family carry out carboxyl methylation of cleaved eukaryotic proteins that terminate in a CaaX motif. In Saccharomyces cerevisiae this methylation is carried out by Ste14p, an integral endoplasmic reticulum membrane protein. Ste14p is the founding member of the isoprenylcysteine carboxyl methyltransferase (ICMT) family, whose members share significant sequence homology [1].	y
PF04149	DUF397	Domain of unknown function (DUF397)	The function of this family is unknown. 	u
PF04166	PdxA	Pyridoxal phosphate biosynthetic protein PdxA	In Escherichia coli the coenzyme pyridoxal 5'-phosphate is synthesised  de novo by a pathway that is thought to involve the condensation of 4-(phosphohydroxy)-L-threonine and 1-deoxy-D-xylulose, catalysed by  the enzymes PdxA and PdxJ, to form either pyridoxine (vitamin B6) or pyridoxine 5'-phosphate [1].	y
PF04167	DUF402	Protein of unknown function (DUF402)	Family member FomD is a predicted protein from a fosfomycin biosynthesis gene cluster in Streptomyces wedmorensis [1].  Its function is unknown.	u
PF04173	DoxD	TQO small subunit DoxD	Swiss:P97207 is a subunit of the terminal quinol oxidase present in the plasma  membrane of Acidianus ambivalens, with calculated molecular mass of 20.4 kDa [1]. Thiosulphate:quinone oxidoreductase (TQO) is one of the early steps in elemental sulphur oxidation.  A novel TQO enzyme was purified from the thermo-acidophilic archaeon Acidianus ambivalens and shown to consist of a large subunit (DoxD) and a smaller subunit (DoxA). The DoxD- and DoxA-like two subunits are fused together in a single polypeptide in Swiss:Q8AAF0.	e
PF04185	Phosphoesterase	Phosphoesterase family	This family includes both bacterial phospholipase C enzymes EC:3.1.4.3, but also eukaryotic acid phosphatases EC:3.1.3.2.	y
PF04188	Mannosyl_trans2	Mannosyltransferase (PIG-V)	This is a family of eukaryotic ER membrane proteins that are involved in the synthesis of glycosylphosphatidylinositol (GPI), a glycolipid that anchors many proteins to the eukaryotic cell surface.  Proteins in this family are involved in transferring the second mannose in the biosynthetic pathway of GPI [1] [2].	s
PF04191	PEMT	Phospholipid methyltransferase 	The S. cerevisiae phospholipid methyltransferase (EC:2.1.1.16) has a broad substrate specificity of unsaturated phospholipids [1].	y
PF04196	Bunya_RdRp	Bunyavirus RNA dependent RNA polymerase	The bunyaviruses are enveloped viruses with a genome consisting of 3 ssRNA segments (called L, M and S). The nucleocapsid protein is encode on the small (S) genomic RNA. The L segment codes for an RNA polymerase. This family contains the RNA dependent RNA polymerase on the L segment.	m
PF04197	Birna_RdRp	Birnavirus RNA dependent RNA polymerase (VP1)	Birnaviruses are dsRNA viruses. This family corresponds to the RNA dependent RNA polymerase. This protein is also known as VP1. All of the birnavirus VP1 proteins contain conserved RdRp motifs that reside in the catalytic "palm" domain of all classes of polymerases. However, the birnavirus RdRps lack the highly conserved Gly-Asp-Asp (GDD) sequence, a component of the proposed catalytic site of this enzyme family that exists in the conserved motif VI of the palm domain of other RdRps [1].	m
PF04199	Cyclase	Putative cyclase	Proteins in this family are thought to be cyclase enzymes.  They are found in proteins involved in antibiotic synthesis.  However they are also found in organisms that do not make antibiotics pointing to a wider role for these proteins. The proteins contain a conserved motif HXGTHXDXPXH that is likely to form part of the active site.	y
PF04204	HTS	Homoserine O-succinyltransferase 		y
PF04205	FMN_bind	FMN-binding domain	This conserved region includes the FMN-binding site of the NqrC protein [1] as well as the NosR and NirI regulatory proteins.	u
PF04208	MtrA	Tetrahydromethanopterin S-methyltransferase, subunit A 	The N5-methyltetrahydromethanopterin: coenzyme M (EC:2.1.1.86) of Methanosarcina mazei Go1 is a membrane-associated,  corrinoid-containing protein that uses a transmethylation reaction to drive an energy-conserving sodium ion pump [1].	y
PF04209	HgmA	homogentisate 1,2-dioxygenase	Homogentisate dioxygenase cleaves the aromatic ring during the  metabolic degradation of Phe and Tyr. Homogentisate dioxygenase deficiency causes alkaptonuria.  The structure of homogentisate dioxygenase shows that the enzyme forms a hexamer arrangement comprised of a dimer of trimers. The active site iron ion is  coordinated near the interface between the trimers [1].	y
PF04216	FdhE	Protein involved in formate dehydrogenase formation	The function of these proteins is unknown. They may possibly be involved in the formation of formate dehydrogenase.	y
PF04226	Transgly_assoc	Transglycosylase associated protein	Bacterial protein, predicted to be an integral membrane protein. Some family members have been annotated as transglycosylase associated proteins, but no experimental evidence is provided.  This family was annotated based on the information in Swiss:P76011.	y
PF04227	Indigoidine_A	Indigoidine synthase A like protein	Indigoidine is a blue pigment synthesised by Erwinia chrysanthemi implicated in pathogenicity and protection from oxidative stress. IdgA is involved in indigoidine biosynthesis, but its specific function is unknown [1]. The recommended name for this protein is now pseudouridine-5'-phosphate glycosidase.	y
PF04230	PS_pyruv_trans	Polysaccharide pyruvyl transferase	Pyruvyl-transferases involved in peptidoglycan-associated polymer  biosynthesis.  CsaB in Bacillus anthracis is necessary for the non-covalent anchoring of proteins containing an SLH (S-layer homology) domain to peptidoglycan-associated pyruvylated polysaccharides.  WcaK and AmsJ are involved in the biosynthesis of colanic acid in Escherichia coli and of amylovoran in Erwinia amylovora [1].	y
PF04231	Endonuclease_1	Endonuclease I	Bacterial periplasmic or secreted endonuclease I (EC:3.1.21.1) E. coli endonuclease I (EndoI) is a sequence independent endonuclease located in the periplasm. It is inhibited by different RNA species.  It is thought to normally generate double strand breaks in DNA, except in the presence of high salt concentrations and RNA, when it generates single strand breaks in DNA. Its biological role is unknown [1].  Other family members are known to be extracellular [2].  This family also includes a non-specific, Mg2+ activated ribonuclease precursor (Swiss:Q03091) [3].	m
PF04235	DUF418	Protein of unknown function (DUF418)	Probable integral membrane protein.	u
PF04237	YjbR	YjbR	YjbR has a CyaY-like fold [1].	u
PF04238	DUF420	Protein of unknown function (DUF420)	Predicted membrane protein with four transmembrane helices.	u
PF04239	DUF421	Protein of unknown function (DUF421)	YDFR family	u
PF04240	Caroten_synth	Carotenoid biosynthesis protein	The representative member of this family is CruF, a C50 carotenoid 2',3'-hydratase involved in the synthesis of the C50 carotenoid bacterioruberin in the halophilic archaeon Haloarcula japonica [1].	y
PF04244	DPRP	Deoxyribodipyrimidine photo-lyase-related protein	This family appears to be related to Pfam:PF00875.	y
PF04252	RNA_Me_trans	Predicted SAM-dependent RNA methyltransferase	This family of proteins are predicted to be alpha/beta-knot SAM-dependent RNA methyltransferases [1].	y
PF04261	Dyp_perox	Dyp-type peroxidase family 	This family of dye-decolourising peroxidases lack a typical heme-binding region.	y
PF04262	Glu_cys_ligase	Glutamate-cysteine ligase 	Family of bacterial f glutamate-cysteine ligases (EC:6.3.2.2) that carry out the first step of the glutathione biosynthesis pathway.	y
PF04263	TPK_catalytic	Thiamin pyrophosphokinase, catalytic domain	Family of thiamin pyrophosphokinase (EC:2.7.6.2). Thiamin pyrophosphokinase (TPK) catalyses the transfer of a pyrophosphate group from ATP to vitamin B1 (thiamin) to form the coenzyme thiamin pyrophosphate (TPP). Thus, TPK is important for the formation of a coenzyme required for central metabolic functions. The structure of thiamin pyrophosphokinase suggest that the enzyme may operate by a mechanism of pyrophosphoryl transfer similar to those described for pyrophosphokinases functioning in nucleotide biosynthesis [1].	y
PF04264	YceI	YceI-like domain	E. coli YceI is a base-induced periplasmic protein [1]. The recent structure of a member of this family shows that it binds to poly-isoprenoid [2]. The structure consists of an extended, eight-stranded, antiparallel beta-barrel that resembles the lipocalin fold.	u
PF04267	SoxD	Sarcosine oxidase, delta subunit family 	Sarcosine oxidase is a hetero-tetrameric enzyme that contains both covalently bound FMN and non-covalently bound FAD and NAD(+).  This enzyme catalyses the oxidative demethylation of sarcosine to yield glycine, H2O2, and 5,10-CH2-tetrahydrofolate (H4folate) in a reaction requiring H4folate and O2 [1,2].	y
PF04268	SoxG	Sarcosine oxidase, gamma subunit family 	Sarcosine oxidase is a hetero-tetrameric enzyme that contains both covalently bound FMN and non-covalently bound FAD and NAD(+).  This enzyme catalyses the oxidative demethylation of sarcosine to yield glycine, H2O2, and 5,10-CH2-tetrahydrofolate (H4folate) in a reaction requiring H4folate and O2 [1,2].	y
PF04275	P-mevalo_kinase	Phosphomevalonate kinase 	Phosphomevalonate kinase (EC:2.7.4.2) catalyses the  phosphorylation of 5-phosphomevalonate into 5-diphosphomevalonate,  an essential step in isoprenoid biosynthesis via the mevalonate  pathway [1]. This family represents the animal type of the  enzyme. The other is the ERG8 type, found in plants and fungi, and some bacteria (see Pfam:PF00288).	y
PF04277	OAD_gamma	Oxaloacetate decarboxylase, gamma chain 		y
PF04286	DUF445	Protein of unknown function (DUF445)	Predicted to be a membrane protein.	u
PF04295	GD_AH_C	D-galactarate dehydratase / Altronate hydrolase, C terminus	Family members include the C termini of D-galactarate dehydratase  (EC:4.2.1.42) which is thought to catalyse the reaction  D-galactarate = 5-keto-4-deoxy-D-glucarate + H2O, [1] and altronate  hydrolase (altronic acid hydratase, EC:4.2.1.7), which catalyses D-altronate = 2-keto-2-deoxygluconate + H2O [2]. As purified, both enzymes are catalytically inactive in the absence of  added Fe2+, Mn2+, and beta-mercaptoethanol.  Synergistic activation of altronate hydrolase activity is seen in the presence of both iron and manganese ions, suggesting that the enzyme may have two ion binding sites. Mn2+ appears to be part of the enzyme active centre, but the function of  the single bound Fe2+ ion is unknown.  The hydratase has no Fe-S core [3].	y
PF04299	FMN_bind_2	Putative FMN-binding domain	In Bacillus subtilis, family member Swiss:P21341 (PAI 2/ORF-2) was found to be essential for growth [1]. The SUPERFAMILY database finds that this domain is related to FMN-binding domains, suggesting this protein is also FMN-binding.	u
PF04303	PrpF	PrpF protein	PrpF is a protein found in the 2-methylcitrate pathway. It is structurally similar to DAP epimerase and proline racemase. This protein is likely to acts to isomerise trans-aconitate to cis-aconitate [1].	y
PF04304	DUF454	Protein of unknown function (DUF454)	Predicted membrane protein.	u
PF04307	YdjM	LexA-binding, inner membrane-associated putative hydrolase	YdjM is a family of putative LexA-binding proteins. Members are predicted to be membrane-bound metal-dependent hydrolases that may be acting as phospholipases. It is a member of the SOS network, that rescues cells from UV and other DNA-damage. Expression of YdjM is regulated by LexA [1].	u
PF04320	DUF469	Protein with unknown function (DUF469)	Family of bacteria protein with no known function.	u
PF04321	RmlD_sub_bind	RmlD substrate binding domain	L-rhamnose is a saccharide required for the virulence of some bacteria. Its precursor, dTDP-L-rhamnose, is synthesised by four different enzymes the final one of which is RmlD.                             The RmlD substrate binding domain is responsible for binding a sugar nucleotide [1,2].	y
PF04325	DUF465	Protein of unknown function (DUF465)	Family members are found in small bacterial proteins, and also in the heavy chains of eukaryotic myosin and kinesin, C terminal of the motor domain (Myosin Pfam:PF00063, Kinesin Pfam:PF00225). Members of this family may form coiled coil structures.	u
PF04332	DUF475	Protein of unknown function (DUF475)	Predicted to be an integral membrane protein with multiple membrane spans.	u
PF04339	FemAB_like	Peptidogalycan biosysnthesis/recognition	FemAB_like is a family of both baterial and Viridiplantae proteins with responsibility for building interpeptide bridges in peptidoglycan. Such a function is feasible for bacteria but less likely for the plant members of this family. Perhaps the plant-members are using homologous proteins to recognise bacterial peptidoglcans as part of their innate immune system [1].	s
PF04341	DUF485	Protein of unknown function, DUF485	This family includes several putative integral membrane proteins.	u
PF04343	DUF488	Protein of unknown function, DUF488	This family includes several proteins of uncharacterised function.	u
PF04345	Chor_lyase	Chorismate lyase	Chorismate lyase catalyses the first step in ubiquinone synthesis, i.e. the removal of pyruvate from chorismate, to yield 4-hydroxybenzoate.	y
PF04346	EutH	Ethanolamine utilisation protein, EutH	EutH is a bacterial membrane protein whose molecular function is unknown. It has been suggested that it may act as an ethanolamine transporter, responsible for carrying ethanolamine from the periplasm to the cytoplasm [1].	y
PF04349	MdoG	Periplasmic glucan biosynthesis protein, MdoG	This family represents MdoG, a protein that is necessary for the synthesis of periplasmic glucans. The function of MdoG remains unknown. It has been suggested that it may catalyse the addition of branches to a linear glucan backbone.	s
PF04358	DsrC	DsrC like protein	Family member Swiss:P45573 has been observed to co-purify with  Desulfovibrio vulgaris dissimilatory sulfite reductase [1], and many  members of this family are annotated as the third (gamma) subunit of  dissimilatory sulphite reductase. However, this protein appears to be only loosely associated to the  sulfite reductase, which suggests that DsrC may not be an integral part of the dissimilatory sulphite reductase.  Members of this family are found in organisms such as E. coli and H. influenzae which do not contain  dissimilatory sulphite reductases but can synthesise assimilatory sirohaem  sulphite and nitrite reductases.  It is speculated that DsrC may be  involved in the assembly, folding or stabilisation of sirohaem proteins [2].  The strictly conserved cysteine in the C terminus suggests that DsrC may have a catalytic function in the metabolism of sulphur compounds [3].	y
PF04363	DUF496	Protein of unknown function (DUF496)		u
PF04365	BrnT_toxin	Ribonuclease toxin, BrnT, of type II toxin-antitoxin system	BrnT is a ribonuclease toxin of a type II toxin-antitoxin system that exhibits a RelE-like fold. The antitoxin that neutralises this toxin is Pfam:PF14384. BrnT is found in bacteria, archaea, bacteriophage, and plasmids. BrnT-BrnA forms a 2:2 tetrameric complex and autoregulates its own expression, which is induced by a number of different environmental stresses. Expression of BrnT alone results in cessation of bacterial growth which can be rescued after subsequent expression of BrnA [1].	m
PF04371	PAD_porph	Porphyromonas-type peptidyl-arginine deiminase	Peptidyl-arginine deiminase (PAD) enzymes catalyse the deimination of the guanidino group from carboxy-terminal arginine residues of various peptides to produce ammonia.  PAD from Porphyromonas gingivalis (PPAD) appears to be evolutionarily unrelated to mammalian PAD (Pfam:PF03068), which is a metalloenzyme.  PPAD is thought to belong to the same superfamily as aminotransferase and arginine deiminase, and to form an alpha/beta propeller structure. This family has previously been named PPADH (Porphyromonas peptidyl-arginine deiminase homologues) [1]. The predicted catalytic residues in PPAD (Swiss:Q9RQJ2) are Asp130, Asp187, His236, Asp238 and Cys351 [1]. These are absolutely conserved with the exception of Asp187 which is absent in two family members.  PPAD is also able to catalyse the deimination of free L-arginine, but has primarily peptidyl-arginine specificity.  It may have a FMN cofactor [2].	y
PF04376	ATE_N	Arginine-tRNA-protein transferase, N terminus	This family represents the N terminal region of the enzyme  arginine-tRNA-protein transferase (EC 2.3.2.8), which catalyses the post-translational conjugation of arginine to the N terminus of a protein. In eukaryotes, this functions as part of the N-end rule pathway  of protein degradation by conjugating a de-stabilising amino acid to the amino terminal aspartate or glutamate of a protein, targeting the protein for ubiquitin-dependent proteolysis.  N terminal cysteine is sometimes  modified [1]. In S cerevisiae, Cys20, 23, 94 and/or 95 are thought to be important  for activity [2].  Of these, only Cys 94 appears to be completely conserved in this family.	y
PF04378	RsmJ	Ribosomal RNA large subunit methyltransferase D, RlmJ	RlmJ is ribosomal RNA large subunit methyltransferase J is required for full methylation of 23S ribosomal RNA (rRNA) during ribosome biogenesis. The ribosomal RNA of E. coli carries 24 residues that require methylation, and this methyltransferase is the last to be described, that modifies A2030 [1]. RlmJ displays a variant of the Rossmann-like methyltransferase (MTase) fold with an inserted helical subdomain. On binding cofactor and substrate a large shift of the N-terminal motif X tail is induced in order to make it cover the cofactor-binding site and to trigger active-site changes in motifs IV and VIII [2].	y
PF04387	PTPLA	Protein tyrosine phosphatase-like protein, PTPLA	This family includes the mammalian protein tyrosine phosphatase-like protein, PTPLA. A significant variation of PTPLA from other protein tyrosine phosphatases is the presence of proline instead of catalytic arginine at the active site. It is thought that PTPLA proteins have a role in the development, differentiation, and maintenance of a number of tissue types [1].	m
PF04389	Peptidase_M28	Peptidase family M28		m
PF04402	SIMPL	Protein of unknown function (DUF541)	Members of this family have so far been found in bacteria and mouse SwissProt or TrEMBL entries.  However possible family members have also been identified in translated rat (Genbank:AW144450) and human (Genbank:AI478629) ESTs. A mouse family member has been named SIMPL (signalling molecule that associates with mouse pelle-like kinase).  SIMPL appears to facilitate and/or regulate complex formation between IRAK/mPLK (IL-1 receptor-associated kinase) and IKK (inhibitor of kappa-B kinase) containing complexes, and thus regulate NF-kappa-B activity [1]. Separate experiments demonstrate that a mouse family member (named LaXp180) binds the Listeria monocytogenes surface protein ActA, which is a virulence factor that induces actin polymerisation. It may also bind stathmin, a protein involved in signal transduction and in the regulation of microtubule dynamics [2]. In bacteria its function is unknown, but it is thought to be located in the periplasm or outer membrane.	u
PF04406	TP6A_N	Type IIB DNA topoisomerase	Type II DNA topoisomerases are ubiquitous enzymes that catalyse the ATP-dependent transport of one DNA duplex through a second DNA segment via a transient double-strand break.  Type II DNA topoisomerases are now subdivided into two sub-families, type IIA and IIB DNA topoisomerases.  TP6A_N is present in type IIB topoisomerase and is thought to be involved in DNA binding owing to its sequence similarity to E. coli catabolite activator protein (CAP) [1]. 	m
PF04412	DUF521	Protein of unknown function (DUF521)	Family of hypothetical proteins.	u
PF04413	Glycos_transf_N	3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)	Members of this family transfer activated sugars to a variety of substrates, including glycogen, fructose-6-phosphate and lipopolysaccharides.  Members of the family transfer UDP, ADP, GDP or CMP linked sugars.  The Glycos_transf_N region is flanked at the N-terminus by a signal peptide and at the C-terminus by Glycos_transf_1 (Pfam:PF00534).  The eukaryotic  glycogen synthases may be distant members of this bacterial  family [1].	s
PF04414	tRNA_deacylase	D-aminoacyl-tRNA deacylase	Several aminoacyl-tRNA synthetases have the ability to transfer the D-isomer of their amino acid onto their cognate tRNA. D-aminoacyl-tRNA deacylases hydrolyse the ester bond between the polynucleotide and the D-amino acid, thereby preventing the accumulation of such mis-acylated and metabolically inactive tRNA molecules.	y
PF04417	DUF501	Protein of unknown function (DUF501)	Family of uncharacterised bacterial proteins.	u
PF04419	4F5	4F5 protein family	Members of this family are short proteins that are rich in aspartate, glutamate, lysine and arginine. Although the function of these proteins is unknown, they are found to be ubiquitously expressed [1].	y
PF04422	FrhB_FdhB_N	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term	Coenzyme F420 hydrogenase (EC:1.12.99.1) reduces the low-potential two-electron acceptor coenzyme F420.  This family contains the N termini of F420 hydrogenase and dehydrogenase beta subunits [1], [2].  The N terminus of Methanobacterium formicicum formate dehydrogenase beta chain (EC:1.2.1.2, Swiss:P06130) is also a member of this family [3]. This region is often found in association with the 4Fe-4S binding domain, fer4 (Pfam:PF00037).	y
PF04428	Choline_kin_N	Choline kinase N terminus	Found N terminal to choline/ethanolamine kinase regions (Pfam:PF01633) in some plant and fungal choline kinase enzymes (EC:2.7.1.32).  This region is only found in some members of the choline kinase family, and is therefore unlikely to contribute to catalysis.	y
PF04439	Adenyl_transf	Streptomycin adenylyltransferase	Also known as Aminoglycoside 6- adenylyltransferase (EC:2.7.7.-), this protein confers resistance to aminoglycoside antibiotics.	y
PF04443	LuxE	Acyl-protein synthetase, LuxE	LuxE is an acyl-protein synthetase found in bioluminescent bacteria.  LuxE catalyses the formation of an acyl-protein thioester from a fatty acid and a protein.                    This is the second step in the bioluminescent fatty acid reduction system, which converts tetradecanoic acid to the aldehyde substrate of the luciferase-catalysed bioluminescence reaction [1] A conserved cysteine found at position 364 in Photobacterium phosphoreum LuxE (Swiss:Q52100) is thought to be acylated during the transfer of the acyl group from the synthetase subunit to the reductase.  The carboxyl terminal of the synthetase is though to act as a flexible arm to transfer acyl groups between the sites of activation and reduction [2]. This family also includes Vibrio cholerae RBFN protein (Swiss:Q06961), which is involved in the biosynthesis of the O-antigen component 3-deoxy-L-glycero-tetronic acid.	y
PF04445	SAM_MT	Putative SAM-dependent methyltransferase	This is a family of putative SAM-dependent methyltransferases.	y
PF04446	Thg1	tRNAHis guanylyltransferase	The Thg1 protein from Saccharomyces cerevisiae is responsible for adding a GMP residue to the 5' end of tRNA His [1]. The catalytic domain Thg1 contains a RRM (ferredoxin) fold palm domain, just like the viral RNA-dependent RNA polymerases, reverse transcriptases, family A and B DNA polymerases, adenylyl cyclases,  diguanylate cyclases (GGDEF domain) and the predicted polymerase of the CRISPR system [2]. Thg1 possesses an active site with three  acidic residues that chelate Mg++ cations [2]. Thg1 catalyzes  polymerization similar to the 5'-3' polymerases [2][3].	y
PF04452	Methyltrans_RNA	RNA methyltransferase	RNA methyltransferases modify nucleotides during ribosomal RNA maturation in a site-specific manner.  The Escherichia coli member is specific for U1498 methylation [1][2].	m
PF04471	Mrr_cat	Restriction endonuclease	Prokaryotic family found in type II restriction enzymes containing the hallmark (D/E)-(D/E)XK active site. Presence of catalytic residues implicates this region in the enzymatic cleavage of DNA [1,2].	m
PF04476	4HFCP_synth	4-HFC-P synthase	(5-formylfuran-3-yl)methyl phosphate synthase, also known as 4-HFC-P synthase, is involved in the production of methanofuran [1,2]. This family has a classical TIM-barrel structure whose biological unit is a homohexamer [1].	y
PF04479	RTA1	RTA1 like protein	This family is comprised of fungal proteins with multiple transmembrane regions.  RTA1 (Swiss:P53047) is involved in resistance to 7-aminocholesterol [1], while RTM1 (Swiss:P40113) confers resistance to an an unknown toxic chemical in molasses [2].  These proteins may bind to the toxic substance, and thus prevent toxicity.  They are not thought to be involved in the efflux of xenobiotics [1].	u
PF04480	DUF559	Protein of unknown function (DUF559)		u
PF04507	DUF576	Csa1 family	This family contains several uncharacterised staphylococcal proteins. These proteins have been called conserved staphylococcal antigens (Csa) [1]. 	u
PF04536	TPM_phosphatase	TPM domain	This family was first named TPM domain after its founding proteins: TLP18.3, Psb32 and MOLO-1. In Arabidopsis, this domain is called the thylakoid acid phosphatase -TAP - domain and has a Rossmann-like fold [1]. In plants, the family resides in the thylakoid lumen attached to the outer membrane of the chloroplast/plastid. It is active in the photosystem II [2,3].	y
PF04551	GcpE	GcpE protein	In a variety of organisms, including plants and several eubacteria, isoprenoids are synthesised by the mevalonate-independent 2-C-methyl-D-erythritol 4-phosphate (MEP) pathway. Although different enzymes of this pathway have been described, the terminal biosynthetic steps of the MEP pathway have not been fully elucidated. GcpE gene of Escherichia coli is involved in this pathway [2].	y
